Point ID,X,Y,Site,Name,H,Sal
1,303699,6065669,A4261036,Beacon 12,0.387,20284
2,308200,6064740,A4261128,Mundoo Channel,0.349,25119
3,309701,6062973,A4261039,Barker Knoll,0.436,58150
4,312929,6062353,A4261043,Beacon 1,0.408,39713
5,321234,6058552,A4261134,Pelican Point,0.203,18274
6,333333,6048050,A4261135,Long Point,0.202,39281
7,345543,6038060,A4260572,Robs Point,0.357,70312
8,355214,6025721,A4260633,Parnka Point,0.2,70000
9,367468,6013904,A4261209,Woods Well,0.119,98002
10,374735,6003080,A4261165,Snipe Island,0.156,115905
11,320500,6060513,A4261207,Lake Alexandrina Tauwitchere EC,0.7,600
12,307550,6062114,A100000,Ocean,0.4,50000
